P,Q,V_mag,V_theta,I_max_tail,I_min_tail,I_avg_tail,Iphase_max_tail,Iphase_min_tail,Iphase_avg_tail,I1_avg_tail,I2_avg_tail,I3_avg_tail,V1_avg_tail,V2_avg_tail,V3_avg_tail,V_avg_tail,Vphase_avg_tail,P_avg_tail,Q_avg_tail,V1_inv_tail,V2_inv_tail,V3_inv_tail,I1_inv_tail,I2_inv_tail,I3_inv_tail
20.0,90.0,0.0,-60.0,0.253369247870915,0.1738769832178484,0.21696574146959463,2.4329347695665327,0.7731447590796892,1.7013433504800628,3.4462959263790305,3.435408140076702,3.439015787610228,9.452844727364635,9.431983739121756,9.39958618317008,0.1474115530065688,-1.854181972948303,0.00807359378318103,1.475639578705814,0.5163639694389968,0.5153193325269716,0.5159382967823379,0.4352557672798113,0.43434672527743656,0.43573770939848816
90.0,0.0,50.0,30.0,0.3768346138136032,0.0294240307969675,0.2411486974208081,2.666481509265951,0.851113773829956,1.7555403954588702,5.11573055240786,5.118254710199514,5.114499028344282,17.515460062086913,17.61665307433331,17.63091744933578,0.22006694300760027,0.21893098627230703,-0.0582474452034219,2.8777836555117897,0.7490611364679772,0.7494355990483832,0.7486071315954348,0.647812481058055,0.6475308942601803,0.6471037837517442
50.0,20.0,100.0,60.0,0.5684277337376207,0.205648275696152,0.41673650771891996,2.690118555213856,1.7106107696930757,2.1767130576873512,6.009013232962441,6.024334520185223,6.01476091178148,26.7923955203371,26.8755058580333,26.743616493096148,0.32001454212805486,1.0100765613322888,-0.06779520247252906,2.663295119033547,0.8229597381596354,0.8206322836780418,0.8208696048422496,0.7626213452030082,0.7631280220629463,0.7612520440493988
0.0,100.0,10.0,-60.0,0.3108804805409358,0.0254358587519632,0.18764463866972728,2.9641238772137117,0.1479481296927115,1.3758413991557052,4.037617822039637,4.03888307831992,4.034911994655015,11.184167158359447,11.233909482543087,11.152416186360913,0.16451649292447504,-0.5163612020649967,-0.04442712637261036,2.0137150386643703,0.5976240075753325,0.5977194945626488,0.5961514423769062,0.5108941318111513,0.5107041759720163,0.5103956079160441
20.0,0.0,70.0,30.0,0.4244079785114659,0.1041229298342485,0.2992523566716953,2.2426620753694317,1.1158148391286475,1.681862074406919,5.210406238331255,5.208865106742602,5.213117974050651,20.72481368287513,20.78414075307875,20.81171120898782,0.23198070386676722,0.42612640988226397,-0.0493573483157445,2.595610282123069,0.7512789966910509,0.7515998827308661,0.7523643463338712,0.6595310176719965,0.6597763343383319,0.6599925807123946
50.0,50.0,110.0,60.0,0.6125079084501274,0.2449856381532809,0.4535564321219395,2.696294456007405,1.70780686445551,2.1768220128107023,6.034209511752707,6.038193039521879,6.035057437678818,28.60113864131424,28.57602201509027,28.600725296282857,0.34967557139370703,1.0195518926972689,-0.07127310313211759,2.2614172552487193,0.8043931101372795,0.8045881764970294,0.8036645561446747,0.7652068766397725,0.7653655223261395,0.7648042923921379
50.0,0.0,90.0,-30.0,0.5323199281072638,0.1831923223687893,0.3852407360167386,1.1431324476643785,0.1285381448417442,0.6221716170363484,5.818647383968302,5.8156959473076855,5.817817927652667,25.013302341537134,24.95374598218804,24.648376677670857,0.28665790403328045,-0.5925004059087328,-0.08028141085307032,2.747389867147496,0.812191372276228,0.809005576698248,0.811920071752188,0.7368772655223884,0.7364068424672774,0.7375069720522864
90.0,0.0,30.0,-30.0,0.3090957512498292,0.0167174097499073,0.1901524087690469,3.132510282776451,-3.139626090584759,0.6389303295036637,4.761955572043664,4.75808912187507,4.766530084106024,14.646237522328132,14.648206183802102,14.532868553913252,0.1974102452789379,-0.3613628907163758,-0.04896209824790294,2.75269054308551,0.7100662194794625,0.7108441027918588,0.7100393161593964,0.6019667521712895,0.6024366038405586,0.6029913618542134
90.0,20.0,20.0,-60.0,0.2911708470582933,0.0313681104433838,0.17397067956655937,3.116822505318193,-3.12076828766801,0.2960694159347137,4.509251490488481,4.5117026644274825,4.507110848467948,13.11864540984849,13.133356183222263,13.093404136641547,0.19362012934336653,-0.3859792461062628,-0.04120562929011101,2.5378114912396685,0.6730695381454925,0.6733550488810621,0.6725482402180563,0.5707141066034778,0.5703722271974971,0.5701572985698062
90.0,20.0,40.0,-60.0,0.3407124290110046,0.0018096829747389,0.2115074076880221,3.1090650368806285,-3.0369675367438123,0.23101674502736447,4.992917940355158,4.995423367809591,4.996242644082609,16.132871004325274,16.25927355020515,16.165552670450104,0.20981907165345365,-0.527546390132536,-0.05302727565603505,2.913401789459611,0.7404239777625073,0.7390923590842128,0.7408285912388436,0.6318830379783834,0.6321715971649772,0.6318484289549885
