Bus,DeviceType,P_pu,Q_pu,I_pu,CurrentAngle_deg,Pmin_pu,Pmax_pu,Qmin_pu,Qmax_pu
145,1,0.006,0.001,0.00712902299557459,179.005927620902,-Inf,Inf,-0.005,0.005
524,1,0.006,0.001,0.0535541013387951,34.570679865595,-Inf,Inf,-0.005,0.005
1607,1,0.006,0.001,0.00442966625901783,41.9610176809534,-Inf,Inf,-0.005,0.005
757,1,0.006,0.001,0.00602867768730345,-80.2213101824772,-Inf,Inf,-0.005,0.005
1519,1,0.006,0.001,0.00515203040574857,29.2443958865297,-Inf,Inf,-0.005,0.005
1289,1,0.006,0.001,0.0058860609556957,22.1232032507514,-Inf,Inf,-0.005,0.005
317,1,0.006,0.001,0.00344245829067555,-165.894627501369,-Inf,Inf,-0.005,0.005
1264,1,0.006,0.001,0.00594968826861508,21.8212088293644,-Inf,Inf,-0.005,0.005
1116,1,0.006,0.001,0.00427896965931788,6.08998520122773,-Inf,Inf,-0.005,0.005
3720,1,0.006,0.001,0.00608884209232747,145.694145175673,-Inf,Inf,-0.005,0.005
1280,1,0.006,0.001,0.00587508468252533,21.7631541110478,-Inf,Inf,-0.005,0.005
3585,1,0.006,0.001,0.00608991762198067,148.038733015346,-Inf,Inf,-0.005,0.005
2990,1,0.006,0.001,0.00609159863100627,-169.355186605392,-Inf,Inf,-0.005,0.005
2843,1,0.006,0.001,0.0066478575996369,-155.712673566887,-Inf,Inf,-0.005,0.005
2532,1,0.006,0.001,0.00611785342475201,-79.4958949667167,-Inf,Inf,-0.005,0.005
223,1,0.006,0.001,0.00837223530565228,95.5193507969151,-Inf,Inf,-0.005,0.005
1615,1,0.006,0.001,0.00421534061373339,45.9769277237184,-Inf,Inf,-0.005,0.005
1134,1,0.006,0.001,0.00474824172096975,14.9920234041401,-Inf,Inf,-0.005,0.005
2176,1,0.006,0.001,0.00616212477419677,-55.1463333339907,-Inf,Inf,-0.005,0.005
1401,1,0.006,0.001,0.00583711053966229,25.7919918041346,-Inf,Inf,-0.005,0.005
800,1,0.006,0.001,0.00576576475570208,-76.377788576558,-Inf,Inf,-0.005,0.005
2201,1,0.006,0.001,0.00613192716753828,-57.1651349248766,-Inf,Inf,-0.005,0.005
3444,1,0.006,0.001,0.00608409215618307,149.28578931141,-Inf,Inf,-0.005,0.005
1659,1,0.006,0.001,0.0009832629063581,86.3769018109077,-Inf,Inf,-0.005,0.005
2982,1,0.006,0.001,0.00612279177804446,-169.028140726725,-Inf,Inf,-0.005,0.005
2659,1,0.006,0.001,0.00619161547489986,-88.8894281606116,-Inf,Inf,-0.005,0.005
3476,1,0.006,0.001,0.00609905640260872,149.039325789324,-Inf,Inf,-0.005,0.005
3630,1,0.006,0.001,0.00609165376348212,147.300165567176,-Inf,Inf,-0.005,0.005
767,1,0.006,0.001,0.0059202954358915,-80.0700516602199,-Inf,Inf,-0.005,0.005
1923,1,0.006,0.001,0.00621864938435544,-3.44421306744075,-Inf,Inf,-0.005,0.005
3997,1,0.006,0.001,0.00608619525877265,140.762728877794,-Inf,Inf,-0.005,0.005
2165,1,0.006,0.001,0.00618691724120353,-53.4264875854246,-Inf,Inf,-0.005,0.005
497,1,0.006,0.001,0.0064075077041677,47.6016666458181,-Inf,Inf,-0.005,0.005
3930,1,0.006,0.001,0.0060885545643682,140.972514093224,-Inf,Inf,-0.005,0.005
335,1,0.006,0.001,0.00409641022141242,172.415124275556,-Inf,Inf,-0.005,0.005
1926,1,0.006,0.001,0.00620944120783056,-7.84304721234351,-Inf,Inf,-0.005,0.005
356,1,0.006,0.001,0.002692487900651,-102.666186483147,-Inf,Inf,-0.005,0.005
1513,1,0.006,0.001,0.00518333110900292,28.8911908220972,-Inf,Inf,-0.005,0.005
476,1,0.006,0.001,0.0054077772958114,46.7720654139068,-Inf,Inf,-0.005,0.005
1070,1,0.006,0.001,0.00403776787302381,-6.30114570029793,-Inf,Inf,-0.005,0.005
1762,1,0.006,0.001,0.00593423656908599,54.8337922071845,-Inf,Inf,-0.005,0.005
1675,1,0.006,0.001,0.00157779446137531,22.7537641558801,-Inf,Inf,-0.005,0.005
423,1,0.006,0.001,0.00506955155882087,-0.268780305505674,-Inf,Inf,-0.005,0.005
396,1,0.006,0.001,0.00328051434043893,-26.1303876251957,-Inf,Inf,-0.005,0.005
3599,1,0.006,0.001,0.00608773869164916,147.823465415841,-Inf,Inf,-0.005,0.005
3277,1,0.006,0.001,0.00619129731539149,-179.030531989577,-Inf,Inf,-0.005,0.005
6,1,0.006,0.001,0.0406338919421459,55.0785891307788,-Inf,Inf,-0.005,0.005
1754,1,0.006,0.001,0.00552161123658061,61.6604547567223,-Inf,Inf,-0.005,0.005
3591,1,0.006,0.001,0.00608780759807142,147.937235081582,-Inf,Inf,-0.005,0.005
3064,1,0.006,0.001,0.00612340383908428,-172.206055755084,-Inf,Inf,-0.005,0.005
232,1,0.006,0.001,0.00788500171159291,95.8446549476563,-Inf,Inf,-0.005,0.005
2191,1,0.006,0.001,0.00615612380035087,-56.2841020370857,-Inf,Inf,-0.005,0.005
2453,1,0.006,0.001,0.00610059192720439,-77.1895819197537,-Inf,Inf,-0.005,0.005
547,1,0.006,0.001,0.00848316544409179,43.4310683962156,-Inf,Inf,-0.005,0.005
3731,1,0.006,0.001,0.0060865994236834,145.625597897842,-Inf,Inf,-0.005,0.005
1111,1,0.006,0.001,0.0041660632620018,2.3024522615693,-Inf,Inf,-0.005,0.005
2737,1,0.006,0.001,0.00620840073302638,-120.690665753021,-Inf,Inf,-0.005,0.005
1104,1,0.006,0.001,0.0041021270139709,-0.722809231757857,-Inf,Inf,-0.005,0.005
3138,1,0.006,0.001,0.00611728220145232,-175.412992922226,-Inf,Inf,-0.005,0.005
3860,1,0.006,0.001,0.00608556011597746,141.743318731015,-Inf,Inf,-0.005,0.005
1728,1,0.006,0.001,0.00431849956614972,63.8667193330669,-Inf,Inf,-0.005,0.005
3897,1,0.006,0.001,0.0060889464171908,141.45753371285,-Inf,Inf,-0.005,0.005
2613,1,0.006,0.001,0.00614028494215323,-85.8139773409316,-Inf,Inf,-0.005,0.005
2379,1,0.006,0.001,0.00615828759242561,-72.5402083933431,-Inf,Inf,-0.005,0.005
722,1,0.006,0.001,0.00537547217482516,-109.859660834128,-Inf,Inf,-0.005,0.005
94,1,0.006,0.001,0.0186287048237257,112.909820450066,-Inf,Inf,-0.005,0.005
3671,1,0.006,0.001,0.00609004052931854,147.237947428449,-Inf,Inf,-0.005,0.005
392,1,0.006,0.001,0.00289605003040312,-49.5276652536249,-Inf,Inf,-0.005,0.005
2222,1,0.006,0.001,0.00614117891860499,-57.0505336636952,-Inf,Inf,-0.005,0.005
1720,1,0.006,0.001,0.0032719013585686,63.0631682410564,-Inf,Inf,-0.005,0.005
1095,1,0.006,0.001,0.00408124705392835,-2.03135310705102,-Inf,Inf,-0.005,0.005
3959,1,0.006,0.001,0.00608852227910629,140.744303893336,-Inf,Inf,-0.005,0.005
3373,1,0.006,0.001,0.0062726701505799,155.506715543892,-Inf,Inf,-0.005,0.005
1261,1,0.006,0.001,0.00588240916792424,21.677032432023,-Inf,Inf,-0.005,0.005
